Anzahl von Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
32;4.073139;4.136324;4.190925;4.139558;4.151471;4.222138;4.217739;4.316440;4.171938;4.183164;4.097219;4.166523;4.147756;4.214931;4.150785;4.067782;4.148951;4.176968;4.138090;4.178544;4.057918;4.179111;4.180169;4.181121;4.116602;4.122742;4.138262;4.205718;4.178034;4.064479;4.159517;4.177936;4.163624;4.190863;4.148338;4.188731;4.179029;4.168117;4.145648;4.088164;4.202432;4.308797;4.164503;4.161900;4.035959;4.146527;4.193733;4.147986;4.174864;4.073549;4.158695
34;4.186945;4.157916;4.162473;4.207314;4.048773;4.157476;4.141345;4.201507;4.171972;4.126581;4.121399;4.134809;4.169194;4.086503;4.134342;4.197835;4.190019;4.222806;4.049782;4.149986;4.189636;4.201530;4.173415;4.061762;4.203944;4.177292;4.176106;4.153954;4.021906;4.173695;4.139630;4.158789;4.163931;4.104228;4.140400;4.173403;4.154872;4.091255;4.127361;4.155069;4.142882;4.179439;4.038505;4.169363;4.163622;4.150952;4.201691;4.106740;4.154393;4.161225;4.148599
36;4.157736;4.198542;4.052723;4.171749;4.170142;4.153658;4.151213;4.027229;4.222632;4.173531;4.168958;4.078582;4.103993;4.165903;4.148287;4.167283;4.092356;4.150795;4.200291;4.135988;4.177579;4.055146;4.147783;4.179295;4.200643;4.182449;4.037226;4.137217;4.131398;4.209571;4.131996;4.044795;4.144885;4.166595;4.125031;4.035050;4.159903;4.129645;4.160212;4.175876;4.076497;4.149476;4.248085;4.133433;4.162482;4.091859;4.170694;4.164820;4.159916;4.164842;4.142920
38;4.054607;4.132142;4.270956;4.300750;4.171707;4.063388;4.160147;4.161101;4.159442;4.141251;4.058167;4.191068;4.129136;4.176661;4.877445;4.060634;4.169844;4.156498;4.210907;4.162220;4.053664;4.163797;4.181601;4.154314;4.154416;4.032412;4.172373;4.203735;4.257589;4.071553;4.096452;4.201480;4.119486;4.134754;4.047696;4.179313;4.200661;4.153165;4.161116;4.110487;4.133394;4.137605;4.149805;4.163224;4.028576;4.220572;4.141932;4.149316;4.142449;4.052020;4.159541
40;4.131231;4.165719;4.153456;4.076889;4.140234;4.168750;4.142616;4.175903;4.039428;4.131037;4.171619;4.178207;4.169863;4.025886;4.159685;4.135521;4.168100;4.172328;4.070631;4.619698;5.045273;5.169341;4.518893;4.175397;4.151678;4.042856;4.174405;4.164779;4.131406;4.111042;4.044279;4.139386;4.193642;4.163350;4.050787;4.174088;4.144734;4.163175;4.150204;4.039366;4.312488;4.141749;4.178186;4.206365;4.052848;4.135984;4.202029;4.131376;4.138002;4.052964;4.193937
42;4.171921;4.275183;4.131131;4.180748;4.076505;4.170337;4.138645;4.148629;4.046695;4.154399;4.184718;4.137364;4.156565;4.045705;4.171783;4.179629;4.281414;4.202614;4.053138;4.231757;4.154230;4.125530;4.166615;4.092886;4.660533;4.170034;4.126705;4.133917;4.055608;4.213284;4.128847;4.152695;4.082233;4.055963;4.052927;4.080127;4.107890;4.091414;4.054759;4.134390;4.076339;4.145146;4.044697;4.065999;4.096518;4.082798;4.193454;4.056767;4.058268;4.091706;4.137823
44;4.034145;4.048058;4.034981;4.038032;4.054980;4.049767;4.061853;4.039771;4.067535;4.087597;4.189951;4.055395;4.061421;4.039843;4.036708;4.016603;4.075818;4.026692;4.036883;4.053797;4.029746;4.031096;4.059522;4.204665;4.040163;4.072161;4.041587;4.033097;4.060387;4.041743;4.053390;4.056327;4.067827;4.044133;4.036124;4.034092;4.060103;4.043021;4.041395;4.043566;4.038686;4.066538;4.034045;4.041156;4.026924;4.032733;4.056163;4.039205;4.083698;4.035607;4.053175
46;4.034444;4.050839;4.081663;4.028393;4.066041;4.047875;4.064830;4.067701;4.080452;4.040155;4.041169;4.046750;4.060633;4.054112;4.033544;4.074694;4.034404;4.059662;4.043572;4.029631;4.033814;4.030640;4.039280;4.085369;4.027954;4.067447;4.039194;4.023291;4.052461;4.046057;4.016578;4.096921;4.130574;4.076148;4.031147;4.076866;4.065085;4.040659;4.042492;4.062397;4.038868;4.060816;4.028828;4.100625;4.023524;4.041150;4.070792;4.099022;4.033729;4.026383;4.052974
48;4.055275;4.054309;4.026509;4.035000;4.026910;4.019195;4.071747;4.057121;4.049641;4.030821;4.038611;4.043665;4.028096;4.021694;4.064482;4.046516;4.024084;4.043400;4.038740;4.066395;4.121043;4.048068;4.037933;4.032317;4.049951;4.033653;4.027785;4.043974;4.008978;4.289069;4.088288;4.030596;4.024763;4.064184;4.037348;4.060639;4.032794;4.048049;4.033272;4.061616;4.058803;4.039220;4.033505;4.171341;4.058462;4.062686;4.024912;4.047285;4.053973;4.033860;4.052012
50;4.033361;4.038589;4.062218;4.027857;4.047838;4.039080;4.037823;4.070428;4.030610;4.051480;4.044696;4.030176;4.027545;4.025329;4.034264;4.037480;4.048678;4.054755;4.026508;4.050215;4.037069;4.040454;4.044523;4.027118;4.028709;4.063908;4.033625;4.035408;4.036948;4.032962;4.037382;4.052448;4.048751;4.031176;4.043127;4.028840;4.012018;4.026052;4.048296;4.056010;4.117428;4.055512;4.042622;4.047483;4.084652;4.023653;4.039201;4.030623;4.049015;4.037395;4.042227
